0,2 0,2 0,2 0,2 0,2 0,2 0,2 0,2 0,2 0,2 0,2 0,2 0,2 0,2 0,2 0,2 0,2 0,2 0,2 0,2
0,2 x,x x,x x,x 5,0 x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x 5,0 x,x x,x x,x 0,2
0,2 x,x x,x 5,0 x,x x,x x,x x,x x,x 5,0 5,0 x,x x,x x,x x,x x,x 5,0 x,x x,x 0,2
0,2 x,x 5,0 x,x x,x x,x x,x x,x 5,0 x,x x,x 5,0 x,x x,x x,x x,x x,x 5,0 x,x 0,2
0,2 5,0 x,x x,x x,x x,x x,x 5,0 x,x x,x x,x x,x 5,0 x,x x,x x,x x,x x,x 5,0 0,2
0,2 x,x x,x x,x x,x x,x 5,0 x,x x,x x,x x,x x,x x,x 5,0 x,x x,x x,x x,x x,x 0,2
0,2 x,x x,x x,x x,x 5,0 x,x x,x x,x x,x x,x x,x x,x x,x 5,0 x,x x,x x,x x,x 0,2
0,2 x,x x,x x,x 5,0 x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x 5,0 x,x x,x x,x 0,2
0,2 x,x x,x 5,0 x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x 5,0 x,x x,x 0,2
0,2 x,x 5,0 x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x 5,0 x,x 0,2
0,2 5,0 x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x 5,0 0,2
0,2 x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x 0,2
0,2 x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x 0,2
0,2 x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x 0,2
0,2 x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x 0,2
